product_0,product_1,reactant_0,reactant_1,reaction
C#C,N[C]=O,[C]#C,NC=O,rxn_7347
C#C,[CH]1CO1,[C]#C,C1CO1,rxn_7348
C#C,[C]#CC#C,[C]#C,C#CC#C,rxn_7349
C#C,[C]#CC#N,[C]#C,C#CC#N,rxn_7350
C#C,C#C[C]=O,[C]#C,C#CC=O,rxn_7351
C#C,[C]#CC=O,[C]#C,C#CC=O,rxn_7352
C#C,O=[C]C#N,[C]#C,O=CC#N,rxn_7353
C#C,O=[C]C=O,[C]#C,O=CC=O,rxn_7354
C#C,[O]CC#N,[C]#C,OCC#N,rxn_7355
C#C,O[CH]C#N,[C]#C,OCC#N,rxn_7356
C#C,N#C[CH]C#N,[C]#C,N#CCC#N,rxn_7357
C#C,O1C=[C]N=N1,[C]#C,c1cnno1,rxn_7358
C#C,O1[C]=CN=N1,[C]#C,c1cnno1,rxn_7359
C#C,[C]1=NOC=N1,[C]#C,c1ncno1,rxn_7360
C#C,C1=NO[C]=N1,[C]#C,c1ncno1,rxn_7361
C#C,O1C=NN=[C]1,[C]#C,o1cnnc1,rxn_7362
C#C,O1[C]=NN=N1,[C]#C,c1nnno1,rxn_7363
C#C,N1=C[C]=NO1,[C]#C,c1cnon1,rxn_7364
C#C,O1N=N[C]=N1,[C]#C,n1ncno1,rxn_7365
C#C,[C]#CC(=O)C#N,[C]#C,C#CC(=O)C#N,rxn_7366
C#C,O=C(C#N)[C]=O,[C]#C,O=C(C#N)C=O,rxn_7367
C#C,[C]#CC#CC#N,[C]#C,C#CC#CC#N,rxn_7368
C#C,O=[C]C#CC#N,[C]#C,O=CC#CC#N,rxn_7369
C#C,[N]=c1onno1,[C]#C,N=c1onno1,rxn_7370
C#C,O=C1[N]N=NO1,[C]#C,O=c1onn[nH]1,rxn_7371
C#C,O=C1ON=[C]O1,[C]#C,O=c1onco1,rxn_7372
C#C,[O]c1nonn1,[C]#C,Oc1nonn1,rxn_7373
C#C,[C]#CC(F)(F)F,[C]#C,C#CC(F)(F)F,rxn_7374
C#C,O=[C]C(F)(F)F,[C]#C,O=CC(F)(F)F,rxn_7375
C#C,O=[C]C(Cl)(Cl)Cl,[C]#C,O=CC(Cl)(Cl)Cl,rxn_7376
C#C,O=[C]C(Br)(Br)Br,[C]#C,O=CC(Br)(Br)Br,rxn_7377
Oc1n[nH]nn1,[CH3],[O]c1n[nH]nn1,C,rxn_7378
O=c1nn[nH][nH]1,[CH3],[N]1NN=NC1=O,C,rxn_7379
[N-]1C(=O)N=N[NH2+]1,[CH3],[N-]1C(=O)N=N[NH+]1,C,rxn_7380
[n-]1c(=O)[nH]n[nH+]1,[CH3],[N-]1C(=O)[N]N=[NH+]1,C,rxn_7381
